date,V13 Dec13,V13 Dec14 - close,V14 Dec14 - close
6/4/12,15.35,0,0
6/5/12,15.35,0,0
6/6/12,15.35,0,0
6/7/12,15.5,0,0
6/8/12,16.2,0,0
6/11/12,15.9,0,0
6/12/12,15.6,0,0
6/13/12,15.6,0,0
6/14/12,15.6,0,0
6/15/12,16,0,0
6/18/12,16,0,0
6/19/12,16.3,0,0
6/20/12,16.75,0,0
6/21/12,16.75,0,0
6/22/12,17.15,0,0
6/25/12,17.15,0,0
6/26/12,17.35,0,0
6/27/12,17.35,0,0
6/28/12,18.25,0,0
6/29/12,18.35,0,0
7/2/12,18.35,0,0
7/3/12,18.35,0,0
7/4/12,18.35,0,0
7/5/12,18.55,0,0
7/6/12,18.55,0,0
7/9/12,18.75,0,0
7/10/12,18.75,0,0
7/11/12,19,0,0
7/12/12,19.05,0,0
7/13/12,19.1,0,0
7/16/12,19.1,0,0
7/17/12,19.2,0,0
7/18/12,19.25,0,0
7/19/12,19.25,0,0
7/20/12,19.4,0,0
7/23/12,19.7,0,0
7/24/12,20.1,0,0
7/25/12,19.8,0,0
7/26/12,19.8,0,0
7/27/12,19.65,0,0
7/30/12,19.45,0,0
7/31/12,18.05,0,0
8/1/12,19,0,0
8/2/12,18.85,0,0
8/3/12,18.75,0,0
8/6/12,18.75,0,0
8/7/12,18,0,0
8/8/12,18.1,0,0
8/9/12,17.85,0,0
8/10/12,17.85,0,0
8/13/12,17.85,0,0
8/14/12,17.5,0,0
8/15/12,17.35,0,0
8/16/12,17.35,0,0
8/17/12,16.5,0,0
8/20/12,16.75,0,0
8/21/12,17.4,0,0
8/22/12,17.1,0,0
8/23/12,16.75,0,0
8/24/12,16.5,0,0
8/27/12,16.75,0,0
8/28/12,16.75,0,0
8/29/12,16.35,0,0
8/30/12,16.3,0,0
8/31/12,16.25,0,0
9/3/12,16.25,0,0
9/4/12,16.5,0,0
9/5/12,16.5,0,0
9/6/12,16.5,0,0
9/7/12,16.5,0,0
9/10/12,16.25,0,0
9/11/12,15.85,0,0
9/12/12,16,0,0
9/13/12,15.65,0,0
9/14/12,15.65,0,0
9/17/12,16,0,0
9/18/12,16.05,0,0
9/19/12,16.05,0,0
9/20/12,15.75,0,0
9/21/12,15.7,0,0
9/24/12,15.75,0,0
9/25/12,15.65,0,0
9/26/12,15.45,0,0
9/27/12,15.2,0,0
9/28/12,15.2,0,0
10/1/12,15.2,0,0
10/2/12,15.2,0,0
10/3/12,15,0,0
10/4/12,14.75,0,0
10/5/12,14.55,0,0
10/8/12,14.6,0,0
10/9/12,14.6,0,0
10/10/12,14.6,0,0
10/11/12,14.4,0,0
10/12/12,14.4,0,0
10/15/12,14.2,0,0
10/16/12,14.2,0,0
10/17/12,14.15,0,0
10/18/12,13.65,0,0
10/19/12,13.3,0,0
10/22/12,12.75,0,0
10/23/12,12.8,0,0
10/24/12,12.6,0,0
10/25/12,12.35,0,0
10/26/12,12.25,0,0
10/29/12,12.3,0,0
10/30/12,12.3,0,0
10/31/12,12.3,0,0
11/1/12,12.9,0,0
11/2/12,12.4,0,0
11/5/12,12.25,0,0
11/6/12,12.35,0,0
11/7/12,12.35,0,0
11/8/12,12.25,0,0
11/9/12,12.25,0,0
11/12/12,12.45,0,0
11/13/12,12.3,0,0
11/14/12,12.05,0,0
11/15/12,12.05,0,0
11/16/12,12.05,0,0
11/19/12,11.65,0,0
11/20/12,11.7,0,0
11/21/12,11.55,0,0
11/22/12,11.55,0,0
11/23/12,11.55,0,0
11/26/12,11.65,0,0
11/27/12,11.6,0,0
11/28/12,11.6,0,0
11/29/12,11.6,0,0
11/30/12,12,0,0
12/3/12,13.15,0,0
12/4/12,12.9,0,0
12/5/12,13,0,0
12/6/12,12.75,0,0
12/7/12,13,0,0
12/10/12,13,0,0
12/11/12,13.2,0,0
