,date,V13 Dec13 - price,V14 Dec14 - price,V14 Dec14 - volume,V15 Dec15 - price,V15 Dec15 - volume,V16 Dec16 - price,V16 Dec16 - volume,V17 Dec17 - price,V17 Dec17 - volume, , 
222,7/9/12,18.51,,,,,,,,,,
223,7/10/12,18.59,,,,,,,,,,
224,7/11/12,18.72,,,,,,,,,,
225,7/12/12,18.82,,,,,,,,,,
226,7/13/12,18.93,,,,,,,,,,
227,7/16/12,19,,,,,,,,,,
228,7/17/12,19.09,,,,,,,,,,
229,7/18/12,19.14,,,,,,,,,,
230,7/19/12,19.18,,,,,,,,,,
231,7/20/12,19.24,,,,,,,,,,
232,7/23/12,19.36,,,,,,,,,,
233,7/24/12,19.54,,,,,,,,,,
234,7/25/12,19.65,,,,,,,,,,
235,7/26/12,19.76,,,,,,,,,,
236,7/27/12,19.81,,,,,,,,,,
237,7/30/12,19.76,,,,,,,,,,
238,7/31/12,19.35,,,,,,,,,,
239,8/1/12,19.19,,,,,,,,,,
240,8/2/12,19,,,,,,,,,,
241,8/3/12,18.82,,,,,,,,,,
242,8/6/12,18.68,,,,,,,,,,
243,8/7/12,18.67,,,,,,,,,,
244,8/8/12,18.49,,,,,,,,,,
245,8/9/12,18.29,,,,,,,,,,
246,8/10/12,18.11,,,,,,,,,,
247,8/13/12,17.93,,,,,,,,,,
248,8/14/12,17.83,,,,,,,,,,
249,8/15/12,17.68,,,,,,,,,,
250,8/16/12,17.58,,,,,,,,,,
251,8/17/12,17.31,,,,,,,,,,
252,8/20/12,17.09,,,,,,,,,,
253,8/21/12,17.07,,,,,,,,,,
254,8/22/12,17.02,,,,,,,,,,
255,8/23/12,16.9,,,,,,,,,,
256,8/24/12,16.9,,,,,,,,,,
257,8/27/12,16.9,,,,,,,,,,
258,8/28/12,16.77,,,,,,,,,,
259,8/29/12,16.62,,,,,,,,,,
260,8/30/12,16.53,,,,,,,,,,
261,8/31/12,16.48,,,,,,,,,,
262,9/3/12,16.38,,,,,,,,,,
263,9/4/12,16.33,,,,,,,,,,
264,9/5/12,16.36,,,,,,,,,,
265,9/6/12,16.4,,,,,,,,,,
266,9/7/12,16.45,,,,,,,,,,
267,9/10/12,16.45,,,,,,,,,,
268,9/11/12,16.32,,,,,,,,,,
269,9/12/12,16.22,,,,,,,,,,
270,9/13/12,16.05,,,,,,,,,,
271,9/14/12,15.88,,,,,,,,,,
272,9/17/12,15.83,,,,,,,,,,
273,9/18/12,15.87,,,,,,,,,,
274,9/19/12,15.88,,,,,,,,,,
275,9/20/12,15.9,,,,,,,,,,
276,9/21/12,15.91,,,,,,,,,,
277,9/24/12,15.86,,,,,,,,,,
278,9/25/12,15.78,,,,,,,,,,
279,9/26/12,15.66,,,,,,,,,,
280,9/27/12,15.55,,,,,,,,,,
281,9/28/12,15.45,,,,,,,,,,
282,10/1/12,15.34,,,,,,,,,,
283,10/2/12,15.25,,,,,,,,,,
284,10/3/12,15.16,,,,,,,,,,
285,10/4/12,15.07,,,,,,,,,,
286,10/5/12,14.94,,,,,,,,,,
287,10/8/12,14.82,,,,,,,,,,
288,10/9/12,14.7,,,,,,,,,,
289,10/10/12,14.62,,,,,,,,,,
290,10/11/12,14.55,,,,,,,,,,
291,10/12/12,14.52,,,,,,,,,,
292,10/15/12,14.44,,,,,,,,,,
293,10/16/12,14.36,,,,,,,,,,
294,10/17/12,14.27,,,,,,,,,,
295,10/18/12,14.12,,,,,,,,,,
296,10/19/12,13.9,,,,,,,,,,
297,10/22/12,13.61,,,,,,,,,,
298,10/23/12,13.33,,,,,,,,,,
299,10/24/12,13.02,,,,,,,,,,
300,10/25/12,12.76,,,,,,,,,,
301,10/26/12,12.55,,,,,,,,,,
302,10/29/12,12.46,,,,,,,,,,
303,10/30/12,12.36,,,,,,,,,,
304,10/31/12,12.3,,,,,,,,,,
305,11/1/12,12.41,,,,,,,,,,
306,11/2/12,12.44,,,,,,,,,,
307,11/5/12,12.43,,,,,,,,,,
308,11/6/12,12.44,,,,,,,,,,
309,11/7/12,12.45,,,,,,,,,,
310,11/8/12,12.32,,,,,,,,,,
311,11/9/12,12.29,,,,,,,,,,
312,11/12/12,12.33,,,,,,,,,,
313,11/13/12,12.32,,,,,,,,,,
314,11/14/12,12.26,,,,,,,,,,
315,11/15/12,12.22,,,,,,,,,,
316,11/16/12,12.18,,,,,,,,,,
317,11/19/12,12.02,,,,,,,,,,
318,11/20/12,11.9,,,,,,,,,,
319,11/21/12,11.8,,,,,,,,,,
320,11/22/12,11.7,,,,,,,,,,
321,11/23/12,11.6,,,,,,,,,,
322,11/26/12,11.6,,,,,,,,,,
323,11/27/12,11.58,,,,,,,,,,
324,11/28/12,11.59,,,,,,,,,,
325,11/29/12,11.6,,,,,,,,,,
326,11/30/12,11.69,,,,,,,,,,
327,12/3/12,11.99,,,,,,,,,,
328,12/4/12,12.25,,,,,,,,,,
329,12/5/12,12.53,,,,,,,,,,
330,12/6/12,12.76,,,,,,,,,,
331,12/7/12,12.96,,,,,,,,,,
332,12/10/12,12.93,,,,,,,,,,
333,12/11/12,12.99,,,,,,,,,,
334,12/12/12,13.08,,,,,,,,,,
335,12/13/12,13.25,,,,,,,,,,
336,12/14/12,13.46,,,,,,,,,,
337,12/17/12,13.74,,,,,,,,,,
338,12/18/12,14.02,,,,,,,,,,
339,12/19/12,14.33,,,,,,,,,,
340,12/20/12,14.59,,,,,,,,,,
341,12/21/12,14.74,,,,,,,,,,
342,12/24/12,14.82,,,,,,,,,,
343,12/26/12,14.86,,,,,,,,,,
344,12/27/12,14.81,,,,,,,,,,
345,12/28/12,14.65,,,,,,,,,,
346,12/31/12,14.64,,,,,,,,,,
347,1/2/13,14.92,,,,,,,,,,
348,1/3/13,15.13,,,,,,,,,,
349,1/4/13,15.37,,,,,,,,,,
350,1/7/13,15.8,,,,,,,,,,
351,1/8/13,16.13,,,,,,,,,,
352,1/9/13,16.01,,,,,,,,,,
353,1/10/13,15.83,,,,,,,,,,
354,1/11/13,15.52,,,,,,,,,,
355,1/14/13,15.09,,,,,,,,,,
356,1/15/13,14.61,,,,,,,,,,
357,1/16/13,14.34,,,,,,,,,,
358,1/17/13,14.22,,,,,,,,,,
359,1/18/13,14.17,,,,,,,,,,
360,1/21/13,14.18,,,,,,,,,,
361,1/22/13,14.17,,,,,,,,,,
362,1/23/13,14.13,,,,,,,,,,
363,1/24/13,14.07,,,,,,,,,,
364,1/25/13,14.16,,,,,,,,,,
365,1/28/13,14.18,,,,,,,,,,
366,1/29/13,14.23,,,,,,,,,,
367,1/30/13,14.25,,,,,,,,,,
368,1/31/13,14.32,,,,,,,,,,
369,2/1/13,14.3,,,,,,,,,,
370,2/4/13,14.4,,,,,,,,,,
371,2/5/13,14.45,,,,,,,,,,
372,2/6/13,14.45,,,,,,,,,,
373,2/7/13,14.41,,,,,,,,,,
374,2/8/13,14.37,,,,,,,,,,
375,2/11/13,14.3,,,,,,,,,,
376,2/12/13,14.26,,,,,,,,,,
377,2/13/13,14.25,,,,,,,,,,
378,2/14/13,14.21,,,,,,,,,,
379,2/15/13,14.15,,,,,,,,,,
380,2/18/13,14.07,,,,,,,,,,
381,2/19/13,13.91,,,,,,,,,,
382,2/20/13,13.81,,,,,,,,,,
383,2/21/13,13.83,,,,,,,,,,
384,2/22/13,14.01,,,,,,,,,,
385,2/25/13,14.24,,,,,,,,,,
386,2/26/13,14.52,,,,,,,,,,
387,2/27/13,14.73,,,,,,,,,,
388,2/28/13,14.87,,,,,,,,,,
389,3/1/13,14.89,,,,,,,,,,
390,3/4/13,14.86,,,,,,,,,,
391,3/5/13,14.86,,,,,,,,,,
392,3/6/13,14.85,,,,,,,,,,
393,3/7/13,14.79,,,,,,,,,,
394,3/8/13,14.7,,,,,,,,,,
395,3/11/13,14.61,,,,,,,,,,
396,3/12/13,14.49,,,,,,,,,,
397,3/13/13,14.41,,,,,,,,,,
398,3/14/13,14.34,,,,,,,,,,
399,3/15/13,14.3,,,,,,,,,,
400,3/18/13,14.25,,,,,,,,,,
401,3/19/13,14.28,,,,,,,,,,
402,3/20/13,14.33,,,,,,,,,,
403,3/21/13,14.41,,,,,,,,,,
404,3/22/13,14.38,,,,,,,,,,
405,3/25/13,14.37,,,,,,,,,,
406,3/26/13,14.33,,,,,,,,,,
407,3/27/13,14.28,,,,,,,,,,
